Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0R1,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,90.018816,-70.060448,0.0,bottom
C0R2,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,90.018816,-89.060447,0.0,bottom
C0R3,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,90.018815,-108.060447,0.0,bottom
C1R1,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,109.018817,-62.060447,0.0,bottom
C1R2,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,109.018815,-81.060448,0.0,bottom
C1R3,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,109.018815,-100.060447,0.0,bottom
C2R1,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,128.018815,-58.060447,0.0,bottom
C2R2,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,128.018815,-77.060447,0.0,bottom
C2R3,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,128.018815,-96.060447,0.0,bottom
C3R1,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,147.018815,-62.060448,0.0,bottom
C3R2,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,147.018815,-81.060448,0.0,bottom
C3R3,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,147.018816,-100.060447,0.0,bottom
C4R1,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,166.018815,-62.060447,0.0,bottom
C4R2,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,166.018816,-81.060447,0.0,bottom
C4R3,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,166.018815,-100.060447,0.0,bottom
C5R2,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,185.018821,-71.443323,0.0,top
C5R3,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,185.018821,-90.443323,0.0,top
D1,D,D_SOD-123,89.168815,-64.860447,180.0,top
D2,D,D_SOD-123,89.168815,-83.860448,180.0,top
D3,D,D_SOD-123,89.168816,-102.860447,180.0,top
D4,D,D_SOD-123,108.168816,-113.860447,0.0,top
D5,D,D_SOD-123,108.168815,-56.860447,180.0,top
D6,D,D_SOD-123,108.168816,-75.860448,180.0,top
D7,D,D_SOD-123,108.168816,-94.860448,180.0,top
D8,D,D_SOD-123,129.543815,-113.860448,0.0,top
D9,D,D_SOD-123,127.168815,-52.860448,180.0,top
D10,D,D_SOD-123,127.168816,-71.860448,180.0,top
D11,D,D_SOD-123,127.168816,-90.860447,180.0,top
D12,D,D_SOD-123,151.69425,-114.323323,-3.0,top
D13,D,D_SOD-123,146.168816,-56.860447,180.0,top
D14,D,D_SOD-123,146.168815,-75.860447,180.0,top
D15,D,D_SOD-123,146.168815,-94.860447,180.0,top
D16,D,D_SOD-123,174.39862,-118.693372,-20.0,top
D17,D,D_SOD-123,165.168815,-56.860448,180.0,top
D18,D,D_SOD-123,165.168816,-75.860447,180.0,top
D19,D,D_SOD-123,165.168816,-94.860447,180.0,top
D20,D,D_SOD-123,194.702625,-129.2426,-36.0,top
D22,D,D_SOD-123,184.203821,-66.273323,0.0,top
D23,D,D_SOD-123,184.246321,-85.273323,0.0,top
J1,Conn_01x02_Pin,Lipo Connector,200.52,-84.71,180.0,top
SW1,SW_Push,SW_SPST_TL3342,180.34,-105.12,0.0,top
SW2,SW_Push,SW_SPST_TL3342,180.34,-105.12,0.0,bottom
SW3,SW_DP3T,SW_CuK_JS202011AQN_DPDT_Angled,204.645,-95.5675,270.0,bottom
T0,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,109.018816,-119.060449,0.0,top
T1,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,130.393816,-119.060448,0.0,top
T2,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,152.244251,-119.573324,-3.0,top
T3,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,173.398584,-123.880307,-20.0,top
T4,SW_PUSH,SW_Gateron_LowProfile_HotSwap_PTH_Reversible,192.333168,-133.954069,-36.0,top
U1,Seeed Studio XIAO BLE,XIAO-nRF52840-Sense-14P-2.54-21X17.8MM_NoLED_Handsolder,195.862449,-111.208323,-90.0,top
